1	3.291
2	2.899
3	3.547
4	1.929
5	3.095
6	3.937
7	3.436
8	2.228
9	3.165
10	2.552
11	2.204
12	3.239
13	2.811
14	3.286
15	3.273
16	3.326
17	3.019
18	3.09
19	2.685
20	2.594
21	3.276
22	3.409
23	2.578
24	5.322
25	1.541
26	3.637
27	1.947
28	3.216
29	3.931
30	3.437
31	2.747
32	2.391
33	2.011
34	2.481
35	3.204
36	3.297
37	2.724
38	2.378
39	2.049
40	2.761
41	2.421
42	2.739
43	2.73
44	2.58
45	3.137
46	2.913
47	2.881
48	3.072
49	2.765
50	3.102
51	3.384
52	3.098
53	2.696
54	2.981
55	3.075
56	2.837
57	3.14
58	3.099
59	3.466
60	1.873
61	2.734
62	2.828
63	2.969
64	2.757
65	3.68
66	2.139
67	3.621
68	2.838
69	2.96
70	3.926
71	2.106
72	3.693
73	3.152
74	2.856
75	3.227
76	3.411
77	3.437
78	3.406
79	2.911
80	3.066
81	3.139
82	2.241
83	4.733
84	3.426
85	2.879
86	2.713
87	4.779
88	3.115
89	2.938
90	3.095
91	2.806
92	2.99
93	2.796
94	2.93
95	2.597
96	3.594
97	3.826
98	4.619
99	3.686
100	2.624
101	2.576
102	3.157
103	3.02
104	2.982
105	3.448
106	3.633
107	2.79
108	3.132
109	3.21
110	3.323
111	2.327
112	2.801
113	2.942
114	2.852
115	2.632
116	2.84
117	3.013
118	2.906
119	2.866
120	2.991
121	2.848
122	3.398
123	3.107
124	3.177
125	2.936
126	2.248
127	3.135
128	2.369
129	3.677
130	3.166
131	2.705
132	3.135
133	3.252
134	2.588
135	3.279
136	2.636
137	3.235
138	2.118
139	2.494
140	3.8
141	2.952
142	3.535
143	2.396
144	3.226
145	3.052
146	2.785
147	2.722
148	2.885
149	3.238
150	2.474
151	3.154
152	3.398
153	2.943
154	3.1
155	2.661
156	2.785
157	3.04
158	3.22
159	3.159
160	2.622
161	2.816
162	2.624
163	3.101
164	2.86
165	3.196
166	2.729
167	2.3
168	2.855
169	3.055
170	2.705
171	2.855
172	2.806
173	2.258
174	4.524
175	3.13
176	3.106
177	2.854
178	2.67
179	2.939
180	3.746
181	3.049
182	3.01
